,TimeDiff,tweet_1st,tweet_2nd,Label
2518,189.4622222222222,7.430731,1.8453252,1
2538,189.26416666666665,8.967013,5.1110625,0
2540,189.25,10.519245,4.593557,1
2559,189.07611111111112,9.256024,3.5405388,0
2628,188.56194444444444,8.622772,3.4584455,0
2631,188.55166666666668,6.650509,5.7855663,1
2633,188.54527777777776,7.2643557,3.2246475,1
2654,188.3138888888889,8.264803,1.2379204,1
2681,188.0858333333333,10.510492,7.147333,1
2682,188.0858333333333,9.801292,0.6286821,1
2703,187.88694444444445,6.63562,2.6691809,0
2721,187.76555555555555,8.347419,3.7903187,1
2730,187.67111111111112,9.71361,2.7610173,0
2742,187.57888888888888,8.923449,3.3761282,0
2750,187.49388888888888,9.289901,4.1738005,0
2763,187.3802777777778,8.338265,2.9775965,1
2774,187.3022222222222,8.494134,3.8207831,1
2812,187.04444444444445,7.244803,3.6621199,1
2824,186.98472222222225,8.240422,3.0790782,1
2858,186.77388888888888,8.667354,3.1195881,0
2907,186.4380555555556,8.839669,3.3194337,0
2929,186.35,8.356166,3.355966,0
2943,186.3080555555556,7.8777843,2.744473,1
2956,186.2525,8.223378,1.2868967,1
2959,186.2516666666667,8.638722,3.6669474,1
2981,186.0875,5.9155746,1.8949218,0
2993,186.02527777777777,7.121237,1.873758,1
3005,185.96027777777775,6.7149777,3.1775618,0
3051,185.725,9.506028,1.3342298,1
3086,185.56722222222223,8.623006,3.354788,1
3092,185.5283333333333,7.779747,3.3319232,1
3100,185.50694444444449,5.9671674,2.073963,0
3102,185.5,8.485565,3.493142,1
3107,185.48611111111111,8.081609,1.5892919,1
3126,185.42638888888888,8.715909,3.3086479,1
3151,185.34666666666664,6.2554517,1.0412453,1
3153,185.33777777777777,7.8472114,3.7806122,1
3157,185.3105555555556,7.606018,1.0341951,0
3201,185.16083333333333,5.853307,1.8056594,0
3218,185.10777777777776,7.7324247,3.3111827,1
3220,185.10444444444445,8.252258,1.165196,0
3244,185.02972222222223,8.187517,0.9857787,1
3263,184.98777777777775,7.390764,3.6778994,1
3350,184.65583333333333,6.949276,3.7476883,1
3422,184.44,7.3084345,3.616023,1
3455,184.36055555555555,11.415793,4.082034,1
3465,184.33555555555557,8.62997,3.0818675,1
3471,184.2975,7.8679585,3.2352393,1
3502,184.2186111111111,10.199709,1.9510983,0
3577,183.99277777777775,8.616267,4.1571484,1
3588,183.9711111111111,8.208319,1.392959,0
3603,183.9427777777778,8.710763,3.0978968,0
3624,183.87722222222223,7.1053634,4.8898406,1
3647,183.8022222222222,8.613971,3.784491,1
3692,183.6288888888889,8.454838,3.4326138,1
3707,183.56694444444443,8.596746,3.4587333,0
3746,183.47027777777777,8.629299,3.0337157,1
3775,183.36416666666668,8.195958,3.362902,1
3781,183.33666666666667,9.92073,0.47263497,1
3789,183.30972222222223,8.667968,3.3901234,1
3831,183.17888888888888,8.342751,3.3126762,0
3844,183.13111111111112,6.675962,0.784972,0
3857,183.08638888888888,9.480533,4.433076,0
3911,182.9055555555556,7.277818,2.1440248,0
3925,182.8336111111111,9.160689,2.6965396,1
3935,182.80138888888888,5.1882725,4.813148,0
3958,182.71277777777777,5.762301,1.8155333,0
3985,182.60888888888888,5.944045,1.8663871,0
3990,182.58444444444444,6.7365026,0.680233,0
4058,182.30083333333332,10.515318,3.5294182,0
4069,182.2511111111111,7.315011,3.6684623,1
4074,182.23444444444445,8.748338,3.4447007,1
4089,182.1747222222222,9.210195,4.709899,1
4090,182.17416666666668,8.487557,3.397229,0
4158,181.93472222222223,8.560633,3.6331162,1
4159,181.9325,5.809741,1.8606169,0
4173,181.89777777777775,6.3275905,3.9742694,1
4188,181.82083333333333,8.757166,3.1824403,1
4216,181.70472222222224,6.763741,3.4876163,0
4219,181.69916666666663,8.387995,3.45917,0
4266,181.49416666666667,8.2518215,3.9604342,1
4268,181.48944444444444,8.449502,3.5165198,1
4281,181.45138888888889,5.8242607,1.8360348,1
4289,181.40666666666667,8.576154,3.2310553,1
4387,180.9477777777778,8.596754,3.1248617,0
4412,180.83555555555557,8.52767,3.4286625,1
4452,180.6313888888889,8.32539,3.5409598,1
4495,180.39222222222224,8.792003,3.4432008,1
4504,180.34583333333333,7.3946085,1.8507338,1
4582,179.7625,9.744902,2.474808,0
4583,179.75944444444443,7.590959,3.3366084,1
4597,179.685,9.489392,4.5130334,0
4634,179.43666666666667,6.9969325,3.5155258,1
4647,179.28222222222223,8.848855,3.2419124,1
4653,179.23694444444445,8.710409,3.2865212,1
4654,179.23694444444445,8.800616,3.2172499,1
4670,179.04666666666665,10.070641,-0.1548239,1
4685,178.8925,8.406808,3.0561335,1
4698,178.7188888888889,8.364478,3.0040102,1
4704,178.63888888888889,8.320206,3.105074,1
4705,178.6266666666667,8.316132,3.0233853,1
4711,178.59,9.406382,3.5048487,0
4717,178.51638888888888,7.938546,3.229444,1
4731,178.2825,8.72826,3.073543,0
4745,177.99916666666667,8.767129,3.2917657,1
4868,175.40194444444444,9.8840685,0.24069756,1
4870,175.39777777777778,8.622375,3.3463979,1
4873,175.36333333333334,8.610245,3.3891084,1
4881,175.06194444444444,6.193517,2.21823,0
4897,174.65055555555554,8.842788,3.0309277,0
4928,174.23777777777778,7.073552,3.2625427,0
4936,174.11888888888888,8.84879,3.4057026,1
4938,174.09472222222223,7.8009357,3.2687612,1
4951,174.00027777777777,8.699203,3.2061508,1
4956,173.93305555555557,7.5343394,3.738523,1
4957,173.92111111111112,7.549171,3.8257554,1
4975,173.77722222222224,7.1946774,3.5911891,1
5016,173.3336111111111,8.881147,3.9300501,1
5022,173.25222222222223,6.4595804,3.489313,0
5023,173.25194444444443,8.921339,3.3837006,1
5037,173.07416666666666,8.922984,3.407291,1
5047,172.92027777777778,8.593198,3.3776536,0
5060,172.7888888888889,8.079106,3.383935,1
5062,172.73888888888888,8.010491,3.3039849,1
5065,172.70305555555555,8.446098,3.440981,1
5068,172.66944444444445,8.855581,3.4198916,1
5070,172.64166666666668,8.819262,3.4254203,1
5112,172.3141666666667,7.4019794,3.6344666,1
5125,172.23416666666665,6.8719754,3.429295,1
5127,172.21972222222223,5.825277,1.7816424,0
5170,172.07861111111112,10.982713,0.6191963,0
5187,171.98,7.755898,2.7789233,1
5208,171.90777777777777,5.3278933,2.4064422,0
5233,171.8163888888889,8.686502,3.3438275,1
5254,171.75861111111112,8.64005,3.0264032,1
5270,171.69916666666666,7.691492,3.2383716,1
5284,171.62277777777777,8.64596,3.3544338,0
5296,171.57694444444445,8.573747,3.4423258,0
5305,171.52666666666667,7.816683,3.7865882,1
5308,171.5186111111111,8.802169,3.057251,0
5341,171.41,5.7683387,2.5281231,0
5370,171.28305555555556,7.347835,3.4134893,0
5395,171.18333333333334,8.832171,3.2500992,0
5429,171.07194444444443,9.692526,4.7517257,1
5432,171.06944444444446,8.563238,3.3285074,1
5436,171.0536111111111,6.7247257,0.92171144,0
5438,171.04888888888888,9.974426,0.08650994,0
5456,170.98555555555555,8.787111,3.182333,0
5484,170.90555555555557,7.85024,3.7944882,1
5505,170.81972222222225,8.585103,3.3467634,1
5508,170.81444444444443,7.8143167,3.7862263,1
5509,170.8138888888889,7.6478543,3.322373,1
5532,170.7436111111111,7.6122074,3.2842426,1
5537,170.7238888888889,8.649618,3.9461021,1
5561,170.67805555555557,3.2665346,3.5178158,1
5564,170.6638888888889,8.532931,3.065244,1
5569,170.64944444444444,7.7782397,3.4792044,1
5572,170.64527777777778,8.619596,3.3604312,1
5580,170.61111111111111,8.449644,3.3048177,0
5595,170.5363888888889,5.819861,1.730775,0
5629,170.3763888888889,8.714742,4.237856,1
