,TimeDiff,tweet_1st,tweet_2nd
116,214.50277777777777,7.9646225,2.6194994
117,214.50222222222223,5.714067,0.61696345
118,214.5016666666667,12.293213,-11.284295
119,214.4922222222222,-2.7990856,15.682366
120,214.4272222222222,-2.7924101,15.639617
121,214.4036111111111,6.420763,1.1169662
122,214.38666666666663,5.695624,0.37169567
123,214.3658333333333,6.469796,1.6030768
125,214.35694444444445,3.1945078,2.6118662
126,214.35611111111112,6.410974,0.74791557
127,214.34472222222223,4.1447744,2.9334388
128,214.33555555555557,6.607907,0.8554665
129,214.3225,5.400943,6.942105
130,214.3138888888889,6.728367,2.7472785
131,214.2913888888889,8.81501,4.0803366
133,214.2505555555556,5.8357034,1.6515375
136,214.24055555555557,10.379368,2.577415
137,214.23277777777776,6.6771684,0.78966933
138,214.20166666666665,6.90238,1.4156781
141,214.17194444444445,5.442857,6.9449253
142,214.14805555555557,10.573865,2.7148228
144,214.1338888888889,6.927405,0.54694635
145,214.11888888888888,6.2545085,0.7229594
147,214.11388888888888,3.5053184,1.9177151
148,214.10333333333327,10.505017,2.3233793
149,214.0930555555556,8.100129,1.1427758
152,214.06583333333333,5.2690625,6.69336
153,214.0630555555556,9.0324955,3.2136
154,214.05166666666668,7.1840034,1.2067256
155,214.0375,-2.7959692,15.672218
157,214.015,16.215374,0.071749166
158,214.015,6.844913,1.3488266
159,214.01361111111112,7.044398,0.9444514
160,214.01361111111112,7.019605,0.9661899
162,214.0005555555556,4.258884,5.2882056
163,214.0,8.15157,2.4259403
165,213.97277777777776,9.536609,1.5373058
166,213.96777777777777,6.58248,5.045401
168,213.9330555555556,6.6070695,1.3056339
169,213.92555555555555,11.941926,3.8383632
170,213.92333333333332,4.1301455,4.9764967
172,213.9061111111111,-11.1839695,3.0589166
173,213.90416666666667,-2.8214335,15.692935
174,213.90166666666667,8.713178,1.4434772
175,213.89805555555557,6.597872,6.3777966
177,213.87972222222223,-10.721027,2.9411287
179,213.83916666666667,-2.6618428,15.625361
180,213.83555555555557,4.873796,3.6581209
181,213.8275,5.443183,2.7647066
182,213.81194444444444,5.9021616,2.1575823
184,213.7861111111111,5.535936,4.202005
185,213.76722222222224,6.79763,3.7699013
187,213.76305555555555,3.9290564,4.5139914
188,213.76,5.324858,6.9115973
189,213.7513888888889,9.219059,1.7318931
190,213.75,7.056514,5.236897
193,213.7205555555556,6.3929853,0.43751276
195,213.71527777777777,6.132265,4.184117
196,213.70638888888888,6.575965,0.89246523
197,213.69916666666663,8.026151,7.5904665
198,213.6833333333333,5.2665515,6.6512914
199,213.6797222222222,7.371877,4.994736
201,213.60361111111112,-2.7278152,15.783609
203,213.5872222222222,6.5162234,0.76293254
204,213.585,5.28821,1.9975103
207,213.5280555555556,5.671169,5.7358794
209,213.52277777777775,5.906245,1.9411188
210,213.5077777777778,7.299169,1.4044867
216,213.4311111111111,8.788821,3.8318934
217,213.425,6.900503,2.0018933
218,213.41083333333333,12.334642,-11.259121
221,213.40194444444444,6.6985025,0.8152867
222,213.40166666666667,6.167556,0.7279462
223,213.39416666666668,5.708831,6.531291
224,213.37833333333333,5.4693527,6.935149
225,213.37694444444443,2.1473393,2.6241107
226,213.35611111111112,5.1555924,0.99313635
227,213.33972222222224,10.267864,3.370771
228,213.33194444444445,-2.8200138,15.7399435
229,213.32194444444443,4.981526,0.85599303
230,213.3163888888889,6.3306947,0.54017913
231,213.31222222222223,7.412371,2.2770798
232,213.31027777777777,5.0925555,6.3789916
233,213.3047222222222,5.694013,5.759771
234,213.2925,8.850683,1.324848
235,213.29083333333327,1.8924998,3.2431898
236,213.27666666666667,9.406154,4.7737527
238,213.25666666666663,7.3452787,-4.138123
239,213.23916666666668,5.467422,2.4668376
241,213.23277777777776,7.3165054,5.183566
