,TimeDiff,tweet_1st,tweet_2nd,Label
1811,195.64388888888888,9.451787,1.3218999,1
1813,195.5883333333333,9.549114,1.2539341,1
1817,195.53333333333333,9.574762,1.1243451,1
1837,195.19472222222225,5.445078,3.3200724,0
1840,195.12277777777777,6.7884216,4.445752,1
1853,194.89027777777775,9.497501,1.4627337,1
1871,194.72861111111112,9.496081,1.1865264,1
1896,194.42194444444445,8.718944,3.176165,1
1906,194.3736111111111,5.223045,3.2628496,0
1915,194.28583333333333,3.4090838,3.0012674,1
1917,194.26444444444445,9.471909,1.2525234,1
1926,194.1930555555556,9.521447,1.1283019,1
1929,194.16916666666663,9.45077,1.406073,1
1944,194.08444444444444,7.337154,1.61059,1
1945,194.08083333333332,9.224939,3.9667382,1
1946,194.07555555555555,9.566484,1.1984078,1
1955,194.0275,9.573743,1.1398389,1
1976,193.92055555555555,9.614741,1.0999619,1
1982,193.84666666666664,7.6491733,4.1459394,0
1983,193.8413888888889,6.778258,1.63984,0
1992,193.73527777777775,7.0478525,4.619491,1
1996,193.70388888888888,9.59751,1.1220996,1
2004,193.65472222222223,9.61202,1.0961448,1
2038,193.35972222222225,8.5973625,3.731711,1
2053,193.22611111111112,9.414387,1.4041802,1
2058,193.18,9.570644,1.1624137,1
2067,193.1147222222222,9.559336,1.1917735,1
2069,193.11027777777775,6.897363,3.2368824,1
2093,192.92194444444445,6.6480684,5.107966,1
2097,192.88444444444443,9.622565,0.89368385,1
2129,192.5955555555556,6.4103756,0.9874737,0
2133,192.58527777777775,9.168336,4.3928742,1
2147,192.47583333333333,6.5440283,1.2718097,0
2151,192.4388888888889,9.472702,1.4408592,1
2157,192.3780555555556,5.4436917,2.864206,0
2164,192.3075,8.122763,4.6783195,1
2197,192.0680555555556,6.1704116,1.5531836,0
2206,192.00944444444443,8.4611845,1.2953571,0
2245,191.67694444444444,7.6002407,3.683479,1
2249,191.66722222222225,7.4849896,1.2752132,1
2264,191.53583333333333,9.569599,1.1026883,1
2271,191.4736111111111,9.5515375,1.0741972,1
2285,191.3761111111111,9.786251,0.7074764,1
2300,191.3088888888889,7.184507,2.6497571,1
2307,191.26888888888888,9.535459,1.1680139,1
2308,191.26388888888889,6.6497083,5.3545,0
2323,191.18166666666667,6.7379827,2.8703074,1
2329,191.1586111111111,5.7947574,1.5188783,0
2334,191.13611111111112,5.601532,3.4456549,0
2342,191.08694444444444,7.108329,1.8836763,1
2344,191.0713888888889,8.8025465,3.3305378,1
2356,191.0016666666667,8.70402,3.1170626,1
2367,190.9375,9.353255,1.5452245,1
2373,190.91083333333333,9.403961,2.0540574,0
2381,190.79805555555555,8.429595,3.3068817,1
2416,190.5247222222222,8.890234,3.2263038,0
2418,190.5038888888889,6.1758056,3.1300209,1
2448,190.11805555555557,8.696668,1.1609708,0
2450,190.08638888888888,9.673053,0.6396147,1
2451,190.0861111111111,9.698678,0.7102416,1
2463,190.0005555555556,8.48715,4.632123,1
2464,189.98194444444445,5.4932823,6.7082434,0
2466,189.9572222222222,6.3994265,2.3163607,1
2477,189.86083333333332,9.716934,0.6476034,1
2489,189.75194444444443,6.605859,2.8425412,1
2492,189.72,9.606494,0.9860992,1
2493,189.71972222222223,9.655874,0.74017906,1
2506,189.59194444444444,9.536097,1.0918092,1
2521,189.4358333333333,9.177026,3.9461312,1
2525,189.39166666666668,9.204356,3.9245837,1
2526,189.3563888888889,6.437831,5.2667813,1
2541,189.23222222222225,9.44543,0.663533,1
2558,189.08277777777775,3.107056,2.98718,0
2583,188.91861111111112,7.9818325,1.2550021,0
2584,188.90833333333333,6.0565796,0.8880888,0
2587,188.85722222222225,5.928362,1.7097973,0
2612,188.63111111111112,9.143415,4.822044,1
2630,188.55555555555557,7.87554,2.6620054,1
2636,188.52388888888888,7.937908,3.6700425,1
2649,188.38972222222225,8.933798,3.176337,0
2661,188.23555555555555,5.8993163,3.6163156,1
2672,188.12722222222223,7.717252,3.4330509,0
2673,188.1238888888889,6.7867756,9.727314,1
2674,188.1208333333333,6.7866225,9.727283,1
2677,188.10805555555555,5.1842704,2.6468358,1
2686,188.07083333333333,7.241096,3.143535,1
2699,187.94166666666663,6.7869725,9.726459,1
2707,187.86888888888888,5.1739235,4.058495,0
2738,187.59416666666667,6.542457,3.090609,1
2741,187.58416666666668,8.969264,4.46881,1
2755,187.45277777777775,6.3325663,1.267652,0
2760,187.39944444444444,9.180824,3.8630502,1
2781,187.2486111111111,9.269323,2.4538403,1
2797,187.12944444444443,6.9919047,5.1196465,1
2814,187.02138888888888,9.374727,1.5284497,1
2815,187.01583333333332,8.5331545,3.4757001,0
